title,revenue,budget,genres,imdbRating,BoxOffice
Toy Story,373554033.0,30000000,"Animation, Comedy, Family",8.3,"$229,947,062"
Toy Story,373554033.0,30000000,"Animation, Comedy, Family",8.3,"$229,947,062"
Toy Story,373554033.0,30000000,"Animation, Comedy, Family",8.3,"$229,947,062"
Jumanji,262797249.0,65000000,"Adventure, Fantasy, Family",7.1,"$100,499,940"
Jumanji,262797249.0,65000000,"Adventure, Fantasy, Family",7.1,"$100,499,940"
Jumanji,262797249.0,65000000,"Adventure, Fantasy, Family",7.1,"$100,499,940"
Grumpier Old Men,0.0,0,"Romance, Comedy",6.7,"$71,518,503"
Grumpier Old Men,0.0,0,"Romance, Comedy",6.7,"$71,518,503"
Waiting to Exhale,81452156.0,16000000,"Comedy, Drama, Romance",6.0,"$67,052,156"
Waiting to Exhale,81452156.0,16000000,"Comedy, Drama, Romance",6.0,"$67,052,156"
Waiting to Exhale,81452156.0,16000000,"Comedy, Drama, Romance",6.0,"$67,052,156"
Father of the Bride Part II,76578911.0,0,Comedy,6.1,"$76,594,107"
Father of the Bride Part II,76578911.0,0,Comedy,6.1,"$76,594,107"
Father of the Bride Part II,76578911.0,0,Comedy,6.1,"$76,594,107"
Heat,187436818.0,60000000,"Action, Crime, Drama, Thriller",8.3,"$67,436,818"
Heat,187436818.0,60000000,"Action, Crime, Drama, Thriller",8.3,"$67,436,818"
Heat,187436818.0,60000000,"Action, Crime, Drama, Thriller",8.3,"$67,436,818"
Sabrina,0.0,58000000,"Comedy, Romance",7.6,N/A
Sabrina,0.0,58000000,"Comedy, Romance",7.6,N/A
Sabrina,0.0,58000000,"Comedy, Romance",7.6,N/A
Sabrina,0.0,58000000,"Comedy, Romance",7.6,N/A
Sabrina,0.0,58000000,"Comedy, Romance",7.6,N/A
Sabrina,0.0,58000000,"Comedy, Romance",7.6,N/A
Tom and Huck,0.0,0,"Action, Adventure, Drama, Family",5.5,"$23,920,048"
Tom and Huck,0.0,0,"Action, Adventure, Drama, Family",5.5,"$23,920,048"
Tom and Huck,0.0,0,"Action, Adventure, Drama, Family",5.5,"$23,920,048"
Sudden Death,64350171.0,35000000,"Action, Adventure, Thriller",5.9,"$20,350,171"
Sudden Death,64350171.0,35000000,"Action, Adventure, Thriller",5.9,"$20,350,171"
Sudden Death,64350171.0,35000000,"Action, Adventure, Thriller",5.9,"$20,350,171"
GoldenEye,352194034.0,58000000,"Adventure, Action, Thriller",7.2,"$106,429,941"
GoldenEye,352194034.0,58000000,"Adventure, Action, Thriller",7.2,"$106,429,941"
GoldenEye,352194034.0,58000000,"Adventure, Action, Thriller",7.2,"$106,429,941"
The American President,107879496.0,62000000,"Comedy, Drama, Romance",6.8,"$60,079,496"
The American President,107879496.0,62000000,"Comedy, Drama, Romance",6.8,"$60,079,496"
The American President,107879496.0,62000000,"Comedy, Drama, Romance",6.8,"$60,079,496"
Dracula: Dead and Loving It,0.0,0,"Comedy, Horror",5.9,"$10,772,144"
Dracula: Dead and Loving It,0.0,0,"Comedy, Horror",5.9,"$10,772,144"
Dracula: Dead and Loving It,0.0,0,"Comedy, Horror",5.9,"$10,772,144"
Balto,11348324.0,0,"Family, Animation, Adventure",7.1,"$11,348,324"
Balto,11348324.0,0,"Family, Animation, Adventure",7.1,"$11,348,324"
Balto,11348324.0,0,"Family, Animation, Adventure",7.1,"$11,348,324"
Nixon,13681765.0,44000000,"History, Drama",7.0,"$13,681,765"
Nixon,13681765.0,44000000,"History, Drama",7.0,"$13,681,765"
Nixon,13681765.0,44000000,"History, Drama",7.0,"$13,681,765"
Cutthroat Island,10017322.0,98000000,"Action, Adventure",5.7,"$10,017,322"
Cutthroat Island,10017322.0,98000000,"Action, Adventure",5.7,"$10,017,322"
Cutthroat Island,10017322.0,98000000,"Action, Adventure",5.7,"$10,017,322"
Casino,116112375.0,52000000,"Drama, Crime",8.2,"$42,512,375"
Casino,116112375.0,52000000,"Drama, Crime",8.2,"$42,512,375"
Sense and Sensibility,135000000.0,16500000,"Drama, Romance",7.7,"$43,436,071"
Sense and Sensibility,135000000.0,16500000,"Drama, Romance",7.7,"$43,436,071"
Four Rooms,4300000.0,4000000,"Crime, Comedy",6.7,"$4,257,354"
Ace Ventura: When Nature Calls,212385533.0,30000000,"Crime, Comedy, Adventure",6.4,"$108,385,533"
Ace Ventura: When Nature Calls,212385533.0,30000000,"Crime, Comedy, Adventure",6.4,"$108,385,533"
Ace Ventura: When Nature Calls,212385533.0,30000000,"Crime, Comedy, Adventure",6.4,"$108,385,533"
Money Train,35431113.0,60000000,"Action, Comedy, Crime",5.7,"$35,431,113"
Money Train,35431113.0,60000000,"Action, Comedy, Crime",5.7,"$35,431,113"
Money Train,35431113.0,60000000,"Action, Comedy, Crime",5.7,"$35,431,113"
Get Shorty,115101622.0,30250000,"Comedy, Thriller, Crime",6.9,"$72,101,622"
Get Shorty,115101622.0,30250000,"Comedy, Thriller, Crime",6.9,"$72,101,622"
Get Shorty,115101622.0,30250000,"Comedy, Thriller, Crime",6.9,"$72,101,622"
Copycat,0.0,0,"Drama, Thriller",6.6,"$32,051,917"
Copycat,0.0,0,"Drama, Thriller",6.6,"$32,051,917"
Copycat,0.0,0,"Drama, Thriller",6.6,"$32,051,917"
Assassins,30303072.0,50000000,"Action, Adventure, Crime, Thriller",6.3,"$30,303,072"
Assassins,30303072.0,50000000,"Action, Adventure, Crime, Thriller",6.3,"$30,303,072"
Assassins,30303072.0,50000000,"Action, Adventure, Crime, Thriller",6.3,"$30,303,072"
Powder,0.0,0,"Drama, Fantasy, Science Fiction, Thriller",6.6,"$30,862,156"
Powder,0.0,0,"Drama, Fantasy, Science Fiction, Thriller",6.6,"$30,862,156"
Powder,0.0,0,"Drama, Fantasy, Science Fiction, Thriller",6.6,"$30,862,156"
Leaving Las Vegas,49800000.0,3600000,"Drama, Romance",7.5,"$32,029,928"
Leaving Las Vegas,49800000.0,3600000,"Drama, Romance",7.5,"$32,029,928"
Othello,0.0,0,Drama,6.8,"$2,844,379"
Othello,0.0,0,Drama,6.8,"$2,844,379"
Now and Then,27400000.0,12000000,"Comedy, Drama, Family",6.8,"$27,112,329"
Now and Then,27400000.0,12000000,"Comedy, Drama, Family",6.8,"$27,112,329"
Now and Then,27400000.0,12000000,"Comedy, Drama, Family",6.8,"$27,112,329"
Persuasion,0.0,0,"Drama, Romance",5.8,N/A
Persuasion,0.0,0,"Drama, Romance",5.8,N/A
The City of Lost Children,1738611.0,18000000,"Fantasy, Science Fiction, Adventure",7.4,"$1,738,611"
The City of Lost Children,1738611.0,18000000,"Fantasy, Science Fiction, Adventure",7.4,"$1,738,611"
The City of Lost Children,1738611.0,18000000,"Fantasy, Science Fiction, Adventure",7.4,"$1,738,611"
Shanghai Triad,0.0,0,"Drama, Crime",7.1,"$2,086,101"
Shanghai Triad,0.0,0,"Drama, Crime",7.1,"$2,086,101"
Shanghai Triad,0.0,0,"Drama, Crime",7.1,"$2,086,101"
Dangerous Minds,180000000.0,0,"Drama, Crime",6.5,"$84,919,401"
Dangerous Minds,180000000.0,0,"Drama, Crime",6.5,"$84,919,401"
Wings of Courage,0.0,0,"Romance, Adventure",6.4,"$15,054,636"
Wings of Courage,0.0,0,"Romance, Adventure",6.4,"$15,054,636"
Babe,254134910.0,30000000,"Fantasy, Drama, Comedy, Family",6.9,"$63,658,910"
Babe,254134910.0,30000000,"Fantasy, Drama, Comedy, Family",6.9,"$63,658,910"
Babe,254134910.0,30000000,"Fantasy, Drama, Comedy, Family",6.9,"$63,658,910"
Carrington,0.0,0,"History, Drama, Romance",6.8,"$3,242,342"
Carrington,0.0,0,"History, Drama, Romance",6.8,"$3,242,342"
Carrington,0.0,0,"History, Drama, Romance",6.8,"$3,242,342"
Dead Man Walking,39363635.0,11000000,Drama,7.5,"$39,363,635"
Dead Man Walking,39363635.0,11000000,Drama,7.5,"$39,363,635"
Across the Sea of Time,0.0,0,"Adventure, History, Drama, Family",6.4,"$16,015,639"
Across the Sea of Time,0.0,0,"Adventure, History, Drama, Family",6.4,"$16,015,639"
Across the Sea of Time,0.0,0,"Adventure, History, Drama, Family",6.4,"$16,015,639"
It Takes Two,0.0,0,"Comedy, Family, Romance",6.0,"$19,474,589"
It Takes Two,0.0,0,"Comedy, Family, Romance",6.0,"$19,474,589"
It Takes Two,0.0,0,"Comedy, Family, Romance",6.0,"$19,474,589"
Clueless,0.0,12000000,"Comedy, Drama, Romance",6.9,"$56,631,572"
Clueless,0.0,12000000,"Comedy, Drama, Romance",6.9,"$56,631,572"
"Cry, the Beloved Country",676525.0,0,Drama,6.8,"$670,727"
"Cry, the Beloved Country",676525.0,0,Drama,6.8,"$670,727"
Richard III,0.0,0,"Drama, War",7.3,"$2,684,904"
Richard III,0.0,0,"Drama, War",7.3,"$2,684,904"
Richard III,0.0,0,"Drama, War",7.3,"$2,684,904"
Dead Presidents,0.0,10000000,"Action, Crime, Drama, History",6.9,"$24,147,179"
Dead Presidents,0.0,10000000,"Action, Crime, Drama, History",6.9,"$24,147,179"
Dead Presidents,0.0,10000000,"Action, Crime, Drama, History",6.9,"$24,147,179"
Restoration,0.0,19000000,"Drama, Romance",6.6,"$4,005,941"
Restoration,0.0,19000000,"Drama, Romance",6.6,"$4,005,941"
Restoration,0.0,19000000,"Drama, Romance",6.6,"$4,005,941"
Mortal Kombat,122195920.0,18000000,"Action, Fantasy",6.1,"$42,326,031"
Mortal Kombat,122195920.0,18000000,"Action, Fantasy",6.1,"$42,326,031"
Mortal Kombat,122195920.0,18000000,"Action, Fantasy",6.1,"$42,326,031"
To Die For,21284514.0,20000000,"Fantasy, Drama, Comedy, Thriller",6.8,"$21,284,514"
To Die For,21284514.0,20000000,"Fantasy, Drama, Comedy, Thriller",6.8,"$21,284,514"
To Die For,21284514.0,20000000,"Fantasy, Drama, Comedy, Thriller",6.8,"$21,284,514"
Se7en,327311859.0,33000000,"Crime, Mystery, Thriller",8.6,"$101,871,174"
Se7en,327311859.0,33000000,"Crime, Mystery, Thriller",8.6,"$101,871,174"
Se7en,327311859.0,33000000,"Crime, Mystery, Thriller",8.6,"$101,871,174"
Pocahontas,346079773.0,55000000,"Adventure, Animation, Drama, Family",6.7,"$141,579,773"
Pocahontas,346079773.0,55000000,"Adventure, Animation, Drama, Family",6.7,"$141,579,773"
Pocahontas,346079773.0,55000000,"Adventure, Animation, Drama, Family",6.7,"$141,579,773"
When Night Is Falling,0.0,0,"Drama, Romance",6.5,"$919,671"
When Night Is Falling,0.0,0,"Drama, Romance",6.5,"$919,671"
The Usual Suspects,23341568.0,6000000,"Drama, Crime, Thriller",8.5,"$23,341,568"
The Usual Suspects,23341568.0,6000000,"Drama, Crime, Thriller",8.5,"$23,341,568"
The Usual Suspects,23341568.0,6000000,"Drama, Crime, Thriller",8.5,"$23,341,568"
Guardian Angel,0.0,0,"Action, Thriller, Drama",N/A,N/A
Mighty Aphrodite,6700000.0,15000000,"Comedy, Romance",7.0,"$6,468,498"
Mighty Aphrodite,6700000.0,15000000,"Comedy, Romance",7.0,"$6,468,498"
Mighty Aphrodite,6700000.0,15000000,"Comedy, Romance",7.0,"$6,468,498"
Lamerica,0.0,0,"Drama, Foreign",7.4,"$438,483"
Lamerica,0.0,0,"Drama, Foreign",7.4,"$438,483"
The Big Green,0.0,0,"Action, Adventure, Comedy, Family",5.5,"$17,736,619"
The Big Green,0.0,0,"Action, Adventure, Comedy, Family",5.5,"$17,736,619"
The Big Green,0.0,0,"Action, Adventure, Comedy, Family",5.5,"$17,736,619"
Georgia,0.0,0,Drama,6.5,"$1,110,104"
Georgia,0.0,0,Drama,6.5,"$1,110,104"
Kids of the Round Table,0.0,0,,5.1,N/A
Kids of the Round Table,0.0,0,,5.1,N/A
